family,we.ep,we.eBH,wi.ep,wi.eBH,log2FC
Chthoniobacteraceae,0.521901022503058,0.8035186001801069,0.5266499125874126,0.8169612339985078,0
Clostridiaceae 1,0.4445009996420665,0.7805741905180161,0.469684829059829,0.7914148556037848,-0.9068905956085186
Clostridiales vadinBB60 group,0.4742670989263668,0.7869482475049743,0.5205759518259517,0.8128356897233204,0
Coriobacteriaceae,0.5216547152870896,0.8180685928574488,0.5429645007770008,0.8276551548002313,-0.16992500144231246
Corynebacteriaceae,0.041798629767939195,0.22628577914045744,0.0315243783993784,0.17913389213863043,-2.115477217419936
Crocinitomicaceae,0.47267823422602245,0.8045300796234031,0.5112349456099455,0.8277291881897656,0
Cryptosporangiaceae,0.4351839231749293,0.7718426852528618,0.4735698329448329,0.7855275798728456,-0.16992500144231246
Cytophagaceae,0.48934586259863194,0.7953063270711298,0.5167577214452214,0.8166986906479505,0
Deferribacteraceae,0.5626358337453694,0.8301980452710964,0.5783872377622377,0.8419872837537938,0
Defluviitaleaceae,0.48127625892680503,0.7622562491152904,0.5117922008547008,0.7883260437896484,0
Deinococcaceae,0.4566392579516388,0.7668659364847865,0.5210810023310023,0.7949919721224789,0
Dermabacteraceae,0.504926698925044,0.8028972158763009,0.5149536227661227,0.8088568220385116,0
Desulfomicrobiaceae,0.47519315297788794,0.7861814245945685,0.5124186577311577,0.7897283853380591,0.16992500144231237
Desulfovibrionaceae,0.4768616614505479,0.7843835569448949,0.5089670745920746,0.8034991783056923,0
Dietziaceae,0.530152780669634,0.8047451984369278,0.5460615773115772,0.824689205303281,0
Diplorickettsiaceae,0.4943849615513826,0.8009983786148492,0.5219684829059829,0.8184633254091119,0
Eggerthellaceae,0.505898627407681,0.8002707567700184,0.528030303030303,0.8128331036736945,0
Enterobacteriaceae,0.46367758996363934,0.7778083827411748,0.505355235042735,0.7899086459362223,0.15200309344505006
Enterococcaceae,0.5133242138043239,0.8078662049637041,0.5215338480963481,0.8178442277341301,0
env.OPS 17,0.45206967555402777,0.7673869841087648,0.4888876748251748,0.787706169214021,0
Erysipelotrichaceae,0.5002147724009777,0.8098428853743899,0.5142506798756799,0.8159280104323412,0
Euzebyaceae,0.46415571140377004,0.7666655662166113,0.528506216006216,0.8153329027904085,0
F082,0.4799140158106417,0.7938903028678598,0.5203647047397048,0.8169325912908336,0
Family XI,0.5898527469461233,0.8627951671707106,0.6288085178710179,0.8865677659210305,0.6214883767462702
Family XII,0.4948939097711823,0.8009386472500453,0.5254637723387723,0.8135725602475217,0.15200309344505006
Family XIII,0.4901742161174818,0.8021110719785319,0.5053091006216006,0.8024993562311886,0
Family XVII,0.47336471523611895,0.7913180989384697,0.5068108974358974,0.8155604677455708,0
Fimbriimonadaceae,0.47353721945147914,0.7876163832021988,0.49036519036519033,0.799833184945762,0.32192809488736235
Flavobacteriaceae,0.5668166145964199,0.8623753512364457,0.6052253302253302,0.877082248919997,-0.4474589769712214
Fusobacteriaceae,0.5641465924142346,0.8444105958676957,0.5760270979020978,0.8593591496415447,-0.2630344058337938
Gemmataceae,0.49522799399123835,0.7871431672501413,0.5096979409479409,0.807635688365858,0
Gracilibacteria bacterium canine oral taxon 394,0.47976457417317697,0.7925210428007008,0.5111633158508158,0.8155916598641377,0
Haliangiaceae,0.5013645881415166,0.7988063735962273,0.5560678904428904,0.8225286205175405,-0.16992500144231246
Helicobacteraceae,0.49014814074762764,0.7945674796725033,0.5128860722610722,0.8113821206603588,0
Herpetosiphonaceae,0.45982332781087254,0.774881683142033,0.49263548951048947,0.7916896050688085,0
Hydrogenophilaceae,0.4453565241242917,0.7663012812762925,0.4645760489510489,0.7725985925207302,0.289506617194985
Hymenobacteraceae,0.4711622720171398,0.7770412906180733,0.5012237762237761,0.7951772869797126,0
Intrasporangiaceae,0.42597925730090797,0.7473506196242263,0.4480914918414918,0.7560623475363609,0
Lachnospiraceae,0.496210131894416,0.7948519091100306,0.5231776903651904,0.8121504055953925,-0.13750352374993496
Lactobacillaceae,0.5129775392731867,0.8193812700212701,0.5218276515151514,0.8172073737316826,-0.4594316186372972
Legionellaceae,0.48127056383317984,0.7743725009093827,0.5088444541569541,0.7981022599751929,0
Leptotrichiaceae,0.49625988000598864,0.8022681992650733,0.5258364898989898,0.8275878013244249,-0.16992500144231246
Leuconostocaceae,0.46682381333278816,0.792500060213899,0.4988976301476301,0.8158633703456064,-0.16992500144231246
Listeriaceae,0.5286213909634568,0.8236764184141107,0.5630560411810411,0.8388669082160212,-0.4594316186372972
LiUU-11-161,0.5111758479694039,0.7909344529983194,0.5210506507381507,0.8092292491696785,0
Marinifilaceae,0.5064491011435712,0.8010553871258254,0.5313750485625485,0.8122581687730153,0
Marinilabiliaceae,0.5106656724938393,0.8021059695327816,0.5049570221445221,0.787763656617885,0
Methyloligellaceae,0.478012289795797,0.7918886339564655,0.5079363344988345,0.8059537950798924,0
Methylophilaceae,0.5234584704923728,0.8177596169644122,0.5534977175602175,0.8346223098531743,0
Micavibrionaceae,0.428940544083847,0.7422129184520709,0.4550675019425019,0.756799086694785,0.32192809488736235
Microbacteriaceae,0.3045030708631065,0.6192475325094362,0.3251626845376845,0.6365729729218524,-1.857980995127572
Micrococcaceae,0.5805201997922165,0.8561808296751191,0.5908253205128204,0.8636299186200997,0.18057224564182084
Micropepsaceae,0.4634442177016912,0.777612749766616,0.4974055458430458,0.7970338085885945,0
Microscillaceae,0.49908320133803186,0.7963564013769373,0.5172724844599844,0.8087818035101945,0
Mitochondria,0.506768920563609,0.8129218563045444,0.5200988247863247,0.8170404699976254,-0.3219280948873623
Moraxellaceae,1.524841012762426e-4,0.002982188470586318,1.554001554001554e-4,0.0033382184944684944,-4.417852514885898
Moritellaceae,0.5202778499232364,0.8148771989282869,0.5628957847707847,0.8424298434810631,-0.9068905956085186
Muribaculaceae,0.49304402554921023,0.8008551821139056,0.523361013986014,0.8157016118247589,-0.5849625007211563
Mycoplasmataceae,0.454882747619063,0.782017543484016,0.464692599067599,0.7878720739640543,0
Nakamurellaceae,0.5229370143144005,0.826651069141625,0.543463480963481,0.8335043662165035,0
Neisseriaceae,0.5173027805401227,0.827958948620006,0.43746722027972024,0.7570933613999873,0.4656635723488118
Nitrosomonadaceae,0.36113066637644936,0.6957163089866455,0.405221688034188,0.7241407231400271,0.9068905956085185
Nitrososphaeraceae,0.4703852403048318,0.7794642857814326,0.5072868104118103,0.8005154790706991,0
Nocardiaceae,0.4877012592815824,0.7872968750597722,0.5260185994560994,0.8071906084056031,-0.16992500144231246
Nocardioidaceae,0.48268056694954015,0.7828107817729464,0.5121163558663558,0.7976714370820094,0
NS9 marine group,0.5135692007716097,0.8198605784266817,0.534451486013986,0.8404786768329637,0
P3OB-42,0.5047471040479765,0.8042621182096367,0.5202821484071484,0.8078355650057408,0
Paenibacillaceae,0.4847772290502037,0.7890104784339749,0.502401418026418,0.7805945963696213,0
Parachlamydiaceae,0.5023096367209309,0.789643792190832,0.5029052544677545,0.7961845396524879,0
Parcubacteria group bacterium GW2011_GWA2_42_14,0.5194631012594267,0.8086101812945825,0.537558275058275,0.8160213766816067,0
Pasteurellaceae,0.5355698875639836,0.8241701518480835,0.595771416083916,0.8531302243644349,1.3870231231092474
Peptococcaceae,0.5110595645759516,0.8122603241835665,0.5282063422688422,0.8190122790613995,-0.16992500144231246
Peptostreptococcaceae,0.5236321306827977,0.8233596892944819,0.5813277000777001,0.8515868844973584,-0.4594316186372972
Phaselicystidaceae,0.5065341929717934,0.8143756364823208,0.5292261557886557,0.8282227761625404,-0.3219280948873623
Planococcaceae,0.5384207367411317,0.832961629269649,0.5749417249417249,0.8542601952446076,-2.4594316186372973
Polyangiaceae,0.5458522008550659,0.8311532556369956,0.5441797785547785,0.83656113720282,-3.1699250014423126
Porphyromonadaceae,0.5605404608610813,0.8464573836170021,0.5830540986790986,0.8650409842589502,-0.34792330342030686
Prevotellaceae,0.5106066793769363,0.8072015079035861,0.5340981934731934,0.8372662786787731,-0.5025003405291831
Propionibacteriaceae,0.0031534671932868857,0.04467602739355493,0.002077263014763015,0.030467668116815845,-2.427861539636427
Pseudoalteromonadaceae,0.4869790045916965,0.8059652002613396,0.5159127331002331,0.8172219334786477,-0.5849625007211563
Pseudomonadaceae,1.6917485879155899e-6,5.562563460630643e-5,1.554001554001554e-4,0.0033382184944684944,-9.3244806079844
Pyrinomonadaceae,0.5061459147902628,0.7811944459156197,0.5390734265734265,0.8082492931561807,0
Reyranellaceae,0.5021901402897051,0.8152319207228405,0.5558991355866355,0.8383497016470959,0
Rhizobiaceae,0.4502758124182054,0.7735452399255549,0.48023140054390046,0.790754667322711,-1.0874628412503393
Rhodobacteraceae,0.5225518368094395,0.8216929920254755,0.527707362082362,0.8206600752239779,0
Rhodopirillaceae,0.49363714116687213,0.7854606635046156,0.496494998057498,0.7972526441330031,0
Rickettsiaceae,0.4875349963165052,0.7824754534287894,0.5196204836829836,0.7995522936402677,0
Rikenellaceae,0.5136371703162441,0.8177409449087429,0.5626602564102563,0.8465596953389469,0
Rs-M59 termite group,0.46741412516852165,0.7729563455308947,0.49755608974358967,0.7876665904698215,0
Ruminococcaceae,0.48165825110974786,0.7952961801673668,0.5185375388500388,0.8203828663457899,-0.5849625007211563
Saccharimonadaceae,0.5044205175837112,0.7985625758305847,0.520789627039627,0.8024926096310636,0
Schlesneriaceae,0.4191863344994356,0.7377093388247525,0.4446617618492618,0.7422179569538501,0.45943161863729726
Solibacteraceae (Subgroup 3),0.489692164392542,0.7847091836727423,0.5187463578088578,0.7901021611843194,0.32192809488736235
Solimonadaceae,0.513498455144529,0.8125048268217022,0.5421729312354312,0.8294831572486414,0
Solirubrobacteraceae,0.5032483299730953,0.7916476298272401,0.5320427836052836,0.8084955182445884,0
Sphingobacteriaceae,1.8477429943958165e-7,9.31828057400016e-6,1.554001554001554e-4,0.0033382184944684944,8.151131885287743
Sphingomonadaceae,3.4699369760595834e-5,6.939728487041937e-4,1.554001554001554e-4,0.0033382184944684944,-6.00250250720317
Spirochaetaceae,0.5294622424650555,0.8214685163108207,0.5840289918414918,0.84743223624562,0
Spirosomaceae,0.505218100123586,0.8165374790210843,0.5196824009324009,0.8173738110084843,-0.3219280948873623
Sporichthyaceae,0.5025807702147077,0.7929613989377667,0.500933614996115,0.7957443390526747,-0.9068905956085186
Sporolactobacillaceae,0.46140003501682014,0.785792301811076,0.49379613442113435,0.7973612689697183,0
SR1 bacterium canine oral taxon 380,0.4974490952040786,0.8047947495565996,0.5433736402486402,0.8251058183245606,-0.16992500144231246
SR1 bacterium canine oral taxon 382,0.47198085120149086,0.8007933923387949,0.5312123640248639,0.8256749576445114,0
Staphylococcaceae,0.0038354156835896606,0.042706194233006776,0.003515928515928516,0.03814996582752264,-2.5405683813627027
Streptococcaceae,0.09104796731171799,0.45230767263909594,0.050855914918414916,0.29855361414321274,-0.14543043952156387
Succinivibrionaceae,0.4599830372381181,0.7770516609962238,0.49570707070707065,0.798064848985291,-0.5849625007211563
Synergistaceae,0.4942068140125111,0.7988221959075785,0.5160025738150738,0.806867104224474,0
Tannerellaceae,0.5249308166418407,0.8069256084838876,0.5550638597513597,0.8336506222341776,0
Terrimicrobiaceae,0.5206291775842091,0.8006847966774779,0.5486317501942501,0.8221698669713139,0
uncultured,0.47839272631543134,0.7919614888387992,0.5002027486402486,0.8057936832086563,0
uncultured bacterium,0.4824428654024617,0.7908444499585243,0.5141656954156953,0.808300771183123,-0.7004397181410921
uncultured Parcubacteria group bacterium,0.4493143135612384,0.7849939874319699,0.4677678224553224,0.7914367647739605,0
uncultured Sphingobium sp.,0.49744576715726124,0.7910033219854504,0.5346785159285159,0.8094756986667578,0
unidentified,0.508816965097708,0.8200718687763258,0.538624222999223,0.8348158089920944,0
Unknown Family,0.5021683915034174,0.783871477635179,0.5236317501942501,0.8022759457144165,0
Veillonellaceae,0.449643512375761,0.7677495189565423,0.4539554195804195,0.7723217722831253,-0.9068905956085186
Vermiphilaceae,0.5056795170247702,0.7937216282242862,0.5396962412587413,0.8060841507490701,0
Vibrionaceae,0.5066657532364386,0.801080770914731,0.5440146658896658,0.8302820699235512,-0.3219280948873623
Weeksellaceae,0.4501060462637,0.756328981549328,0.47521246114996113,0.7801687177997784,0.5405683813627028
Xanthobacteraceae,1.4214574268332528e-6,4.785915991581207e-5,1.554001554001554e-4,0.0033382184944684944,5.8397436852058044
Xanthomonadaceae,4.506569323205489e-5,9.739323202718655e-4,1.554001554001554e-4,0.0033382184944684944,-4.797012977836145
Undefined Family,0.2579120105483367,0.6130139415220947,0.22674825174825172,0.5776139705011113,-1.3479233034203069
